model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,sinhala,5,baseline_mean,0,none,0.001,0.2563920301592735,0.24601419519099643,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,5,sif_abtt_optimal,1,train_sweep,0.001,0.3965776027104093,0.4436399752720763,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,5,whitening,0,none,0.001,0.23547705130633959,0.2769753025836135,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,6,baseline_mean,0,none,0.001,0.26152438614185636,0.2524509829380517,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,6,sif_abtt_optimal,1,train_sweep,0.001,0.3881843416534443,0.43871634582680424,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,6,whitening,0,none,0.001,0.25545011325013,0.28500451938179316,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,7,baseline_mean,0,none,0.001,0.25588980022307933,0.2437715259228685,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,7,sif_abtt_optimal,1,train_sweep,0.001,0.38206345125420293,0.4307696025577941,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,7,whitening,0,none,0.001,0.246750773925065,0.2760694736515687,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,8,baseline_mean,0,none,0.001,0.2632781441837859,0.2528871551205809,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,8,sif_abtt_optimal,1,train_sweep,0.001,0.37977951100436863,0.43535238429938533,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,8,whitening,0,none,0.001,0.21968495482560596,0.2521110961266968,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,9,baseline_mean,0,none,0.001,0.25781623200376014,0.24871975062740392,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,9,sif_abtt_optimal,1,train_sweep,0.001,0.3789278129353224,0.43629139251284726,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,9,whitening,0,none,0.001,0.22980958071634253,0.26308376006377165,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,10,baseline_mean,0,none,0.001,0.26240419320452385,0.25469116976491274,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,10,sif_abtt_optimal,1,train_sweep,0.001,0.37871945363466114,0.43463275619059794,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,10,whitening,0,none,0.001,0.2319554151392848,0.27607622745121774,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,11,baseline_mean,0,none,0.001,0.2716466288295555,0.262802178096612,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,11,sif_abtt_optimal,5,train_sweep,0.001,0.3868978740533256,0.4444115371882062,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,11,whitening,0,none,0.001,0.246574602452611,0.26909703808471863,2548,2548
