model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/LaTa,hidden,mean,7,baseline,0,0.001,clean,943,335,0.06865671641791045,0.07462686567164178,0.08059701492537313,0.06865671641791045,0.07462686567164178,0.08059701492537313,0.9247555136680603,0.9050108194351196,0.019744694232940674,0.9050529599189758
bowphs/LaTa,hidden,mean,7,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9283582089552239,0.9402985074626866,0.9044776119402985,0.9283582089552239,0.9402985074626866,0.5882366895675659,-0.001194911659695208,0.5894316012272611,5.9793219406856224e-05
bowphs/LaTa,hidden,mean,8,baseline,0,0.001,clean,943,335,0.07164179104477612,0.07761194029850746,0.08656716417910448,0.07164179104477612,0.07761194029850746,0.08656716417910448,0.9090709090232849,0.8919178247451782,0.01715308427810669,0.8919543623924255
bowphs/LaTa,hidden,mean,8,abtt,10,0.001,clean,943,335,0.9014925373134328,0.9343283582089552,0.9402985074626866,0.9014925373134328,0.9343283582089552,0.9402985074626866,0.5805693864822388,-0.0011268272064626217,0.5816962136887014,0.00011141122377011925
bowphs/LaTa,hidden,mean,9,baseline,0,0.001,clean,943,335,0.06865671641791045,0.08358208955223881,0.08955223880597014,0.06865671641791045,0.08358208955223881,0.08955223880597014,0.908243715763092,0.8910922408103943,0.017151474952697754,0.8911284804344177
bowphs/LaTa,hidden,mean,9,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9402985074626866,0.9432835820895522,0.9044776119402985,0.9402985074626866,0.9432835820895522,0.5791029930114746,-0.0011303755454719067,0.5802333685569465,0.00010474876762600616
bowphs/LaTa,hidden,mean,10,baseline,0,0.001,clean,943,335,0.06567164179104477,0.08656716417910448,0.0955223880597015,0.06567164179104477,0.08656716417910448,0.0955223880597015,0.9107074737548828,0.8932309746742249,0.01747649908065796,0.8932681083679199
bowphs/LaTa,hidden,mean,10,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9373134328358209,0.9432835820895522,0.9044776119402985,0.9373134328358209,0.9432835820895522,0.5732918977737427,-0.0011403880780562758,0.574432285851799,8.238761802203953e-05
bowphs/LaTa,hidden,mean,11,baseline,0,0.001,clean,943,335,0.07164179104477612,0.09253731343283582,0.1044776119402985,0.07164179104477612,0.09253731343283582,0.1044776119402985,0.9109054207801819,0.8934816718101501,0.01742374897003174,0.8935187458992004
bowphs/LaTa,hidden,mean,11,abtt,10,0.001,clean,943,335,0.9074626865671642,0.9373134328358209,0.9462686567164179,0.9074626865671642,0.9373134328358209,0.9462686567164179,0.5708240270614624,-0.0011208176147192717,0.5719448446761817,9.66639636317268e-05
