model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,acc_at_1,acc_at_3,existing_acc,new_acc,overall_assignment_acc,n_train,n_test,n_existing,n_new
bowphs/LaTa,ff1,sif,3,sif_only,10,0.001,0.7939698492462312,0.9165978112540073,0.04759942462396631,0.7004380822181702,0.40089380741119385,0.2995442748069763,0.76875,0.809375,0.4625,0.9090909090909091,0.6854460093896714,639,639,320,319
bowphs/LaTa,ff1,sif,3,sif_abtt_fixed,10,0.001,0.3165829145728643,0.968485922900786,0.05352803056590908,0.5003349184989929,0.0008720465702936053,0.4994628719286993,0.903125,0.925,0.89375,0.7836990595611285,0.838810641627543,639,639,320,319
bowphs/LaTa,ff1,sif,3,sif_abtt_optimal,3,0.001,0.4020100502512563,0.9665930571887286,0.05331175646088332,0.5298008322715759,0.0010692502837628126,0.5287315819878131,0.896875,0.91875,0.86875,0.8369905956112853,0.8528951486697965,639,639,320,319
bowphs/LaTa,ff1,sif,4,sif_only,10,0.001,0.7688442211055276,0.929945961166034,0.04912455086909331,0.689502477645874,0.3353178799152374,0.3541845977306366,0.80625,0.8625,0.5125,0.9655172413793104,0.7386541471048513,639,639,320,319
bowphs/LaTa,ff1,sif,4,sif_abtt_fixed,10,0.001,0.3316582914572864,0.9624600068959388,0.05283952446502551,0.513095498085022,0.0007668975158594549,0.5123286005691625,0.915625,0.93125,0.9,0.7962382445141066,0.8482003129890454,639,639,320,319
bowphs/LaTa,ff1,sif,4,sif_abtt_optimal,3,0.001,0.4221105527638191,0.9570519645217979,0.05222161506080635,0.5380944013595581,0.0008329776464961469,0.537261423713062,0.90625,0.91875,0.884375,0.8714733542319749,0.8779342723004695,639,639,320,319
bowphs/LaTa,ff1,sif,5,sif_only,10,0.001,0.7437185929648241,0.9148413622173438,0.04739873714729479,0.6995782256126404,0.3191894292831421,0.3803887963294983,0.884375,0.90625,0.675,0.9561128526645768,0.8153364632237872,639,639,320,319
bowphs/LaTa,ff1,sif,5,sif_abtt_fixed,10,0.001,0.35175879396984927,0.9603098376321897,0.052593851499316946,0.5226036906242371,0.0005994610255584121,0.5220042295986786,0.9125,0.928125,0.8875,0.8307210031347962,0.8591549295774648,639,639,320,319
bowphs/LaTa,ff1,sif,5,sif_abtt_optimal,10,0.001,0.35175879396984927,0.9603098376321897,0.052593851499316946,0.5226036906242371,0.0005994610255584121,0.5220042295986786,0.9125,0.928125,0.8875,0.8307210031347962,0.8591549295774648,639,639,320,319
bowphs/LaTa,ff1,sif,6,sif_only,10,0.001,0.7537688442211056,0.9137240905101469,0.047271080474663045,0.7123050093650818,0.3563571572303772,0.3559478521347046,0.884375,0.9,0.6875,0.9592476489028213,0.8231611893583725,639,639,320,319
bowphs/LaTa,ff1,sif,6,sif_abtt_fixed,10,0.001,0.3316582914572864,0.9663426778921896,0.05328314874828708,0.5189871788024902,0.0011407777201384306,0.5178464010823518,0.896875,0.91875,0.934375,0.8087774294670846,0.8716744913928013,639,639,320,319
bowphs/LaTa,ff1,sif,6,sif_abtt_optimal,10,0.001,0.3316582914572864,0.9663426778921896,0.05328314874828708,0.5189871788024902,0.0011407777201384306,0.5178464010823518,0.896875,0.91875,0.934375,0.8087774294670846,0.8716744913928013,639,639,320,319
bowphs/LaTa,ff1,sif,7,sif_only,10,0.001,0.7437185929648241,0.9075812806898805,0.04656921837861042,0.6950724720954895,0.3690032362937927,0.3260692358016968,0.821875,0.86875,0.65625,0.9278996865203761,0.7918622848200313,639,639,320,319
bowphs/LaTa,ff1,sif,7,sif_abtt_fixed,10,0.001,0.32663316582914576,0.9613812389142786,0.05271626713183136,0.5137622356414795,0.000647296488750726,0.5131149391527288,0.909375,0.915625,0.934375,0.7899686520376176,0.8622848200312989,639,639,320,319
bowphs/LaTa,ff1,sif,7,sif_abtt_optimal,10,0.001,0.32663316582914576,0.9613812389142786,0.05271626713183136,0.5137622356414795,0.000647296488750726,0.5131149391527288,0.909375,0.915625,0.934375,0.7899686520376176,0.8622848200312989,639,639,320,319
