model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,french,12,whitening,0,none,0.001,0.2627792373328698,0.5485496950870736,505,505
Qwen/Qwen3-Embedding-8B,french,13,baseline_mean,0,none,0.001,0.6110432993406979,0.5908993570758696,505,505
Qwen/Qwen3-Embedding-8B,french,13,sif_abtt_optimal,10,train_sweep,0.001,0.8459430266461282,0.8580991714587336,505,505
Qwen/Qwen3-Embedding-8B,french,13,whitening,0,none,0.001,0.20631907208841885,0.5241934004225658,505,505
Qwen/Qwen3-Embedding-8B,french,14,baseline_mean,0,none,0.001,0.6137422446166735,0.5943091273465253,505,505
Qwen/Qwen3-Embedding-8B,french,14,sif_abtt_optimal,10,train_sweep,0.001,0.8477658176022171,0.8606809106211589,505,505
Qwen/Qwen3-Embedding-8B,french,14,whitening,0,none,0.001,0.18502048702685986,0.5474335294844038,505,505
Qwen/Qwen3-Embedding-8B,french,15,baseline_mean,0,none,0.001,0.6146652053976952,0.5928972729868984,505,505
Qwen/Qwen3-Embedding-8B,french,15,sif_abtt_optimal,10,train_sweep,0.001,0.8508523953649175,0.8615871423358266,505,505
Qwen/Qwen3-Embedding-8B,french,15,whitening,0,none,0.001,0.34033335677144755,0.5251940604187093,505,505
Qwen/Qwen3-Embedding-8B,french,16,baseline_mean,0,none,0.001,0.6163367473266183,0.5915781215524931,505,505
Qwen/Qwen3-Embedding-8B,french,16,sif_abtt_optimal,10,train_sweep,0.001,0.8519275468345272,0.8614330260542078,505,505
Qwen/Qwen3-Embedding-8B,french,16,whitening,0,none,0.001,0.34578004473694435,0.5200292764188558,505,505
Qwen/Qwen3-Embedding-8B,french,17,baseline_mean,0,none,0.001,0.6122265022505629,0.5890096256650995,505,505
Qwen/Qwen3-Embedding-8B,french,17,sif_abtt_optimal,10,train_sweep,0.001,0.8527146854879881,0.8614880975605896,505,505
Qwen/Qwen3-Embedding-8B,french,17,whitening,0,none,0.001,0.3230945585820785,0.5034735971667562,505,505
Qwen/Qwen3-Embedding-8B,french,18,baseline_mean,0,none,0.001,0.6145008987946675,0.592745641969104,505,505
Qwen/Qwen3-Embedding-8B,french,18,sif_abtt_optimal,10,train_sweep,0.001,0.8512934149896453,0.8612746196975789,505,505
Qwen/Qwen3-Embedding-8B,french,18,whitening,0,none,0.001,0.19654626933735367,0.4884980644559364,505,505
Qwen/Qwen3-Embedding-8B,french,19,baseline_mean,0,none,0.001,0.6149637898589636,0.5977808705485794,505,505
Qwen/Qwen3-Embedding-8B,french,19,sif_abtt_optimal,10,train_sweep,0.001,0.8536906460152487,0.8640175164603897,505,505
Qwen/Qwen3-Embedding-8B,french,19,whitening,0,none,0.001,0.14545911002318015,0.49841177496714895,505,505
Qwen/Qwen3-Embedding-8B,french,20,baseline_mean,0,none,0.001,0.6233766139709307,0.6085651864993744,505,505
